Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,174.917709,186.260483,172.374634,184.690475,184.690475,12604789338
2020-01-31,184.736908,185.405838,176.296814,180.160172,180.160172,11728616393
2020-02-01,180.113770,183.845551,179.745178,183.673950,183.673950,11569697182
2020-02-02,183.532501,193.080399,180.173950,188.617538,188.617538,14054425388
2020-02-03,188.607407,193.436890,188.012695,189.865067,189.865067,12392875241
2020-02-04,189.861725,191.111496,185.403625,189.250595,189.250595,11714191695
2020-02-05,189.299103,206.804001,188.752686,204.230240,204.230240,14865434434
2020-02-06,204.129700,214.597717,201.904068,212.339081,212.339081,16425589682
2020-02-07,212.315887,223.140930,212.304199,222.726059,222.726059,16673443564
2020-02-08,222.510971,226.588089,215.386292,223.146515,223.146515,16741203125
2020-02-09,222.982239,229.864243,222.982239,228.578568,228.578568,15031356241
2020-02-10,228.549133,229.184616,218.080048,223.522705,223.522705,16210008511
2020-02-11,223.384933,236.547134,218.617615,235.851196,235.851196,16964695963
2020-02-12,235.898224,272.398834,235.896271,265.406128,265.406128,24545049385
2020-02-13,265.052704,273.741058,258.922516,268.099243,268.099243,25801317504
2020-02-14,268.023285,285.056427,262.762512,284.217499,284.217499,23558253462
2020-02-15,284.561310,287.123688,264.279663,264.728577,264.728577,23682452994
2020-02-16,264.904053,272.882446,242.484406,259.894714,259.894714,25152366643
2020-02-17,259.890564,266.871246,244.335327,266.363434,266.363434,26024080088
2020-02-18,266.508820,283.196136,261.463898,281.944580,281.944580,26511477187
2020-02-19,282.036285,283.537933,259.763977,259.763977,259.763977,22679414412
2020-02-20,259.819855,263.695404,250.951263,257.949463,257.949463,23229828870
2020-02-21,257.891113,267.004852,255.689087,265.600616,265.600616,20867593292
2020-02-22,265.551575,266.387207,258.913147,262.331726,262.331726,16906032861
2020-02-23,262.278412,273.754150,261.960510,273.754150,273.754150,19585998813
2020-02-24,273.705078,275.539520,259.625153,265.216431,265.216431,22400845640
2020-02-25,265.283386,265.431488,246.858994,247.817596,247.817596,21878882134
2020-02-26,247.740204,249.649704,221.266556,225.680267,225.680267,26235617201
2020-02-27,225.687042,237.228928,212.664520,226.753403,226.753403,25645522789
2020-02-28,226.987610,234.208939,216.346207,226.760498,226.760498,22563530559
2020-02-29,226.833450,232.256622,219.848511,219.848511,219.848511,18181296376
2020-03-01,219.752670,226.677887,214.130432,218.970596,218.970596,18179807469
2020-03-02,218.711624,232.811584,217.284286,230.569778,230.569778,20305587789
2020-03-03,230.523972,232.325806,221.732666,224.479630,224.479630,19853178572
2020-03-04,224.565338,228.040421,222.088882,224.517975,224.517975,16567075208
2020-03-05,224.641891,234.364456,224.641891,229.268188,229.268188,18201291785
2020-03-06,229.168427,243.554977,228.743576,243.525299,243.525299,19374772256
2020-03-07,243.750198,249.978485,237.551285,237.853088,237.853088,19431652027
2020-03-08,237.780685,237.780685,200.602997,200.689056,200.689056,21381823651
2020-03-09,201.318497,207.451401,192.269897,201.986328,201.986328,23645428606
2020-03-10,202.863953,205.714249,198.064499,200.767242,200.767242,18344930072
2020-03-11,200.768036,202.954300,184.362152,194.868530,194.868530,16984790291
2020-03-12,194.738922,195.147934,111.210709,112.347122,112.347122,22134741654
2020-03-13,112.689995,137.429535,95.184303,133.201813,133.201813,27864623060
2020-03-14,133.582474,134.484375,122.414474,123.306023,123.306023,12740784545
2020-03-15,123.246063,132.242142,121.853653,125.214302,125.214302,12719251812
2020-03-16,124.996117,124.996117,105.171440,110.605873,110.605873,15984904589
2020-03-17,110.406784,118.988289,110.406784,113.942749,113.942749,12087490572
2020-03-18,113.857643,116.021622,111.743111,114.842270,114.842270,11617854008
2020-03-19,114.839821,140.527725,114.732864,136.593857,136.593857,16396753275
2020-03-20,136.649277,150.853806,122.605659,132.737167,132.737167,18960388062
2020-03-21,133.101761,135.972412,127.163757,132.818710,132.818710,13684083307
2020-03-22,132.851135,136.151642,122.909340,123.321144,123.321144,12497707223
2020-03-23,123.365982,134.911606,121.867882,134.911606,134.911606,14149877968
2020-03-24,135.194138,141.948532,133.168777,138.761444,138.761444,14609068673
2020-03-25,138.914963,141.403793,134.304230,136.195892,136.195892,13433092919
2020-03-26,136.190674,138.830566,134.886032,138.361557,138.361557,11367261176
2020-03-27,138.369934,139.902695,133.937943,133.937943,133.937943,11396286629
2020-03-28,134.032745,134.032745,126.962189,130.986496,130.986496,12162403960
2020-03-29,131.015335,131.174088,125.450050,125.583733,125.583733,9938133668
2020-03-30,125.577896,133.911469,125.289680,132.904541,132.904541,11841123306
2020-03-31,132.820923,134.274139,131.652893,133.593567,133.593567,11065246316
2020-04-01,133.612320,135.634552,129.730942,135.634552,135.634552,12456564434
2020-04-02,135.732178,146.787094,135.732178,142.029144,142.029144,15322861686
2020-04-03,142.110443,146.899872,139.619385,142.091309,142.091309,13184603401
2020-04-04,142.215179,145.377304,140.121826,145.219391,145.219391,11946658256
2020-04-05,145.261017,146.128525,142.102081,143.546646,143.546646,11280993590
2020-04-06,143.608215,169.272644,143.544601,169.135880,169.135880,21636382525
2020-04-07,169.147461,175.204132,164.203323,165.101944,165.101944,21659346091
2020-04-08,165.240326,173.210266,164.493195,172.641739,172.641739,17063110836
2020-04-09,172.761261,172.897781,167.987122,170.807144,170.807144,14901696210
2020-04-10,170.829269,170.949768,154.914474,158.412445,158.412445,17980944615
2020-04-11,158.538986,161.167572,155.298340,158.216019,158.216019,13555089447
2020-04-12,158.232391,164.516953,156.320511,161.142426,161.142426,15123721385
2020-04-13,160.720673,160.749695,151.614487,156.279556,156.279556,16465282132
2020-04-14,156.355957,160.944275,155.865936,157.596390,157.596390,14723156630
2020-04-15,157.565643,160.711121,152.802841,153.286896,153.286896,14171753736
2020-04-16,153.200424,173.157272,150.359421,172.157379,172.157379,22910469235
2020-04-17,172.279419,174.275909,169.751572,171.638580,171.638580,16714684265
2020-04-18,171.618073,187.940475,171.618073,186.914001,186.914001,20160323442
2020-04-19,186.861984,188.098923,180.120819,181.614960,181.614960,19146038381
2020-04-20,181.480225,186.083542,170.321274,172.297165,172.297165,21266681335
2020-04-21,172.017715,175.178467,170.552841,172.737701,172.737701,16458767984
2020-04-22,172.670395,183.751007,171.826599,182.599579,182.599579,17994666394
2020-04-23,182.620178,189.088867,180.340652,185.028671,185.028671,21275740032
2020-04-24,185.222107,190.210388,185.222107,189.236938,189.236938,16788555028
2020-04-25,189.207397,196.792374,188.459534,195.515305,195.515305,18260969748
